sample_id	s__Akkermansia_muciniphila	s__Alistipes_finegoldii	s__Alistipes_onderdonkii	s__Alistipes_putredinis	s__Alistipes_unclassified	s__Anaerostipes_hadrus	s__Anaerostipes_unclassified	s__Bacteroides_caccae	s__Bacteroides_dorei	s__Bacteroides_fragilis	s__Bacteroides_ovatus	s__Bacteroides_stercoris	s__Bacteroides_thetaiotaomicron	s__Bacteroides_uniformis	s__Bacteroides_vulgatus	s__Bacteroides_xylanisolvens	s__Barnesiella_intestinihominis	s__Bifidobacterium_adolescentis	s__Bifidobacterium_animalis	s__Bifidobacterium_bifidum	s__Bifidobacterium_breve	s__Bifidobacterium_catenulatum	s__Bifidobacterium_dentium	s__Bifidobacterium_longum	s__Bifidobacterium_pseudocatenulatum	s__Citrobacter_freundii	s__Clostridium_bartlettii	s__Clostridium_bolteae	s__Clostridium_clostridioforme	s__Clostridium_hathewayi	s__Clostridium_leptum	s__Clostridium_nexile	s__Clostridium_ramosum	s__Clostridium_sp_KLE_1755	s__Clostridium_spiroforme	s__Clostridium_symbiosum	s__Collinsella_aerofaciens	s__Coprobacillus_unclassified	s__Coprococcus_comes	s__Dialister_invisus	s__Dorea_formicigenerans	s__Dorea_longicatena	s__Eggerthella_unclassified	s__Enterobacter_cloacae	s__Enterococcus_avium	s__Enterococcus_faecalis	s__Enterococcus_faecium	s__Escherichia_coli	s__Escherichia_unclassified	s__Eubacterium_eligens	s__Eubacterium_hallii	s__Eubacterium_ramulus	s__Eubacterium_rectale	s__Eubacterium_siraeum	s__Eubacterium_sp_3_1_31	s__Faecalibacterium_prausnitzii	s__Haemophilus_parainfluenzae	s__Klebsiella_oxytoca	s__Klebsiella_pneumoniae	s__Klebsiella_unclassified	s__Lachnospiraceae_bacterium_1_1_57FAA	s__Lachnospiraceae_bacterium_2_1_58FAA	s__Lachnospiraceae_bacterium_5_1_63FAA	s__Lactobacillus_casei_paracasei	s__Lactobacillus_rhamnosus	s__Lactococcus_phage_P680	s__Megasphaera_micronuciformis	s__Oscillibacter_unclassified	s__Parabacteroides_distasonis	s__Parabacteroides_merdae	s__Parabacteroides_unclassified	s__Peptostreptococcaceae_noname_unclassified	s__Prevotella_copri	s__Roseburia_hominis	s__Roseburia_intestinalis	s__Roseburia_inulinivorans	s__Roseburia_unclassified	s__Ruminococcus_bromii	s__Ruminococcus_callidus	s__Ruminococcus_gnavus	s__Ruminococcus_lactaris	s__Ruminococcus_obeum	s__Ruminococcus_sp_5_1_39BFAA	s__Ruminococcus_torques	s__Streptococcus_parasanguinis	s__Streptococcus_salivarius	s__Streptococcus_thermophilus	s__Subdoligranulum_sp_4_3_54A2FAA	s__Subdoligranulum_unclassified	s__Veillonella_atypica	s__Veillonella_parvula	s__Veillonella_unclassified
3159548	0	0	0	0	0	0	0	0.0057551	0	0	0	0	0	0	0.0016821	0	0	0	0	8.56E-05	0.973342	0	0	0.000171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001523	6.45E-05	0	4.54E-05	2.93E-05	0	0	0	0	0	0	0	0	0.0035141	0	0	0	0	0	0.0138492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005456	0	0	0	2.82E-05	0	0.0005085	9.00E-05
5554099	9.00E-05	0.0012399	0.0109603	0.0160554	0	0.0107191	0	0	0.0722796	0.0215398	0.0378687	0	0.0167463	0	0	0.0019968	0.0078438	0.0235292	0	0.0200339	0.0006021	0.0067019	0	0.047345	0.0001224	0	0.0021564	0.0013539	0	0.0006073	0.0168223	0	0	0	0	0.0005555	0.0048355	0.0004293	0	0.0834578	0.0028255	0.0113734	0.0018959	0	0	0	0	0	0.0005433	0.0179403	0	0	0.0495092	0	0.0029181	0.160521	0.0001842	0	0	0	0.0001801	0	0.0007567	0	0	0	0	0	0	0	0	0.0003249	0	0	0.0040623	0	0.010075	0.2332	0	0.0050616	0	0.0002838	0.0184462	0.0013321	0	0.0007829	0	0	0.0051338	0	0.000245	1.95E-05
7719167	0	0	0	0	0	0	0	0	0	0.163793	0	0	0	0	0.000177	0	0	0	0	0.0002503	0	0	0	0.0002489	0	0	0.0015886	0	0	0	0	0	0.0436506	0	0	0	0	0.158623	0	0	0	0	0.0095871	0	0	6.47E-05	0.0008852	0.0605858	0	0	0	0	0	0	0	6.92E-05	0.0040594	0.0003175	0.0001725	0.0016394	0	0.0986162	0.0166214	0	0	0	0	0	5.20E-06	0	8.59E-05	0.0018621	0	0	0	0	0	0	0	0.364152	0	0.017637	0	0.0250087	0	5.94E-05	1.92E-05	0	0.0001558	0.0003701	0.0017475	0.0236254
3193862	0.0045082	0.0015262	0.0022695	0	0.0027427	0	0.0049146	0	0.0099867	0.002613	0.0113834	0	0.0081909	0	0	0	0.0006394	0	0	8.29E-05	0.050881	0	0.0004552	0.36827	0	0	0.0001425	0.144556	0.0031993	0.00049	0	0.0073475	0.0069387	0.103204	0	0.0017197	0	0.025439	0	0.0323226	0	0	0.00432	0	0	0	0	4.78E-05	0	0	0	0	0	0	0	0	0.0004374	0	0	0	0	0	0	0	0	0	0	0	1.42E-05	0.0017246	0.000242	8.37E-05	0	0	0	0	0.0008068	0	0	0.124445	0	0	0	0.0151198	0.0002201	0.0014531	0	0	0.0149398	0	6.61E-05	8.88E-05
6234520	0	0	0	0	0	0	0	0	0	0.0804986	0	0	0	0	0	0	0	0	0	0.0001303	0.785174	0	0	0.0004574	0	0	0.0002003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002756	0.0002453	3.83E-05	1.64E-05	0	0	0	0	0	0	0	0.000343	0	0.0013514	0.0001728	0	0	0	0.0007937	0.0447925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000134	0	0	0	0	0	0	0.0749365	0.0100208
3631146	0	0	0	0	0	0	0	0	0.000126	0.0220044	0	0	3.10E-06	0.0392767	0.0106919	0	0	0.166566	0	0.0001372	0.25061	0.0003598	0	0.19286	0	0	0.00025	0.0036555	0	0	0	0	0	0	0	0	0.0353879	0	0	0	0	0	0.0007201	5.90E-05	0.0013148	0.0015066	0	0.0226875	0.0047414	0	0	0	0	0	0	6.92E-05	6.28E-05	0.0001822	0	3.22E-05	0	0	0	0.116801	0	0	0.0018628	0	0.0006454	0.0334709	0	0	0	0	0	0	0	7.23E-05	0	0	0	0	0	0.0001808	0.0009982	0.0050126	5.63E-05	0	5.57E-05	3.07E-05	0.022518	0.0270425
1393527	0	0	0	0	0	0	0.000583	0	0	0.0133404	0.0088791	0	0	0	0.0066556	0	0	0	0	0.524496	0	0	0	0.155414	0	0	0.0001609	0.0016502	3.49E-05	0.0020711	0	0	0.0040817	0	0	0.0002033	0	0.0023799	0	0	0	0	0	0.0099802	0	0	0	0.106162	0.0286274	0.0063462	0	0	0	0	0	0	0.0001026	0	0.0007856	0	0	0.0025814	0	0	0.000463	0	0	0	0	0	0	0.000318	0	0	0.0005	0.0013985	0	0	0	0.0350762	0	0	0	0.0059771	0.0008531	0.0012844	0.003022	0	0.0001783	0.0003378	0.0121666	0.0472693
1127459	0	0	0	0	0	0.0001781	0	0.0662398	0	0.008669	0	0	0	0.0498981	0.0851942	0.106855	0	0.0080827	0	0.0001592	0.0020454	0	0	0.202892	0	0	0.0003924	0.0204083	0	0.0009057	0.0057098	0.0079765	0.0003588	0	0	0	0	0.0016737	0	0	0	0	0.0055726	0	0	0	0	0.0114958	0	0	0.0011882	0.017973	0.0109829	0	0	0.0097766	0	0	0	0	0.0037493	0.0030608	0.0006561	0	0	0	0	0.0063086	0	0	0	0	0	0.0054452	0	0.0053588	0	0.177739	0	0.031207	0	0.0001955	0	0.0277897	0	0	0	0	0.0654284	1.78E-05	8.37E-05	0.0011486
4393574	7.59E-05	0	0	0.0008427	0	0.0001611	0	0.0028703	7.70E-05	0.0015614	0.002544	4.81E-05	0	0.0068857	0.0008585	0	0	0.0340605	0	0.156774	0.0017075	0	0	0.610074	0	0	0	0.0036842	0.0001586	5.99E-05	0	0.0017519	0.0006382	0.0022482	0	6.32E-05	0	0.0195818	0	0.0058249	0	0	0.0006651	0.0325733	3.28E-05	0	0	7.52E-05	0.004277	0	0	0	0	0	0	0.0212856	0.000311	0	0	0	0.0108321	0	0.0004711	0	0	0	0	1.75E-05	0	0	0	0	0	0	0	0	3.03E-05	0	0	0.067002	0	9.71E-05	0	0.0034055	0	0.0002661	0	0	0.0022399	0	7.75E-05	0.000165
6658433	0	0	0	0	0	0	0.130773	0	1.51E-05	0.0178662	0.0403419	0	0	0	0	0	0	0.0003501	0	0	0	0	0	0.0001837	0	0.0073428	0	0	0	0.0060001	0	0.0113486	0.0155657	0	0	0	0	0.049319	0	0	0	0	0	0.0002906	0	0	0	0.317069	0.0333352	0	0	0	0	0	0	0	0	0.0113031	0	0.0026854	0	0	0	0	0	0	0	0	0	0	0	0.0013691	0	0	0	0	0	2.15E-05	0	0.305459	0	0	0	0.0253775	0.0011423	0.0020333	0	0	0	0	0.00143	0.0019654
9025920	0.0090299	0	0.0085634	0.0257341	0	0.0001438	0	0	0.0073831	0.0064571	0.0222075	0	0.0047663	0.0853482	0.037824	0	0	0.0001327	0.221614	2.79E-05	0.0004192	0.0181406	0	0.120563	0.0031704	0	0.000374	0.000917	0	0.0009403	0.0012359	0.004382	0	0	0	0.0004516	0	0.0004053	0	0.0002462	0.0063529	0	0.0129818	0	0	8.53E-05	0	0	0	0.0016261	0.0084619	0	0.0010184	0.0108049	0.0049776	0.10039	1.24E-05	0	0	0	0	0	0.0012961	0.0002816	0.0021455	0	0	0.0027687	0.0014209	0	0.0010519	0.0005043	0	0.0022164	0.0170046	0.0030004	0	0.125757	0	0.0003246	0.0030546	0.0003464	0	0.0162667	0	0.0006066	0.0074413	0	0.0261666	0	0	0
9153206	0.0150055	0	0	0.0041277	0	1.05E-05	0.0025187	0	0	0.0017491	0.0070098	0	0	0.0705911	0.0030276	0	0	0	0	0	0.004556	0	0	0.336305	0.0006787	0	0.0023257	0.0057056	0.0016241	0.0031653	0.0135328	0.0114344	0.0032421	0	0	0.0041949	0	0.0510049	0	0	0	0	0.0515615	0	0	0	0	0.0124565	0	0	0	0	0.0016551	0	0	0.0288674	0	0	0	0	0.0041847	0	0.0010191	0	0	0	0	0.0069477	0	0.0059436	0	0	0	0.0079964	0.0017685	0.0008418	0	0.121943	0	0.0211337	0	0.0004169	0.0252716	0.0172704	0	0.0022752	0.000967	0	0.104648	0	8.46E-05	0.0002165
1040160	0	0	0	0	0	0	0.0547212	0	0	0	0	0	0	0	0	0	0	0	0	0.0007479	0	0	0	0.0012173	0	0	0.0036494	0.0145275	0	0	0.0024247	0.403839	0.0702245	0	0	0	0	0.0317642	0	0	0	0	0.0177717	0	0	0	0	0.0867888	0.0127134	0	0	0	0	0	0	0	0	0.0008853	0	9.65E-05	0	0.0184773	0	0	0.0060063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0706404	0	1.05E-05	0	0.012198	0	0	0.0122274	0	9.40E-05	0	0.0076736	0.0029303
5096355	0.0043235	0	0	0	0	0	0.0019438	0	0	0	0	0	0.0849001	0	0	0	0	0	0	5.71E-05	0.0014228	0	0	0.0689745	0.0002874	0	0	0.0112594	0.0095931	0.0240617	0	0.0006617	0.0045155	0	0	0.0079806	0	0.0099611	0	0	0	0	0.003848	0	0.0002353	0	0	0.0079971	0.0031161	0	0	0	0	0.0001374	0.0001221	0.0696958	6.00E-06	0	0	0	0.0010369	0	0	0	0	0	0	0.0027262	0	0	0.0017251	0.0016669	0	0	0	0	7.16E-05	0.564252	0	0.0538902	0	0	0	0.0073358	0	0.0009333	0	0	0.0122242	0	0.0154743	0.0035356
6132626	0	0	0	0	0	0	0.0001673	0.000174	1.95E-05	0	0.0002706	0	0	0	0	0	0	0	0	3.55E-05	0.0001813	0	0	0.484859	8.65E-05	0	0.0004	0	0	0	0	0.0186226	0.0165297	0	0	0	0.136564	0.0402307	0	0	0	0	0.0061821	0	0	0	0	0.0197102	0.0014783	0	0	0	0	0	0	0	0	0	0	0	0.0007502	0	0	0.001992	0	0	0	0	0	0	0	0.0111922	0	0	0	0	0	0	0	0.0462771	0	2.02E-05	0.191568	0.0061703	0.00328	0.0076004	0	0	0	0	0	0.0001339
5969873	0.0001073	0	0	0	0	0.001687	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08E-05	0.0013	0	0	0.37624	0.221545	0.0014181	0.0001166	0.0036233	0.0074221	0	0	0.0054265	0	0	0	0	0	0.0001984	0	0.0211655	0	0	0.0066063	0.0003696	0	0	0	0.013431	0.0085035	0	0	0	0	0	0	0	0.0018194	0	0.0002615	0	0	0	0.0019609	0	0	0	0.0043269	0	0	0	0	0.0013786	0	2.10E-05	0	0	0.024445	0.154213	0	0.0290426	0	2.80E-05	0	0.0052174	0	0.0001301	0	0	0.0225204	0	0.0614241	0.0153612
2087533	0	0	0	0	0	8.89E-05	0	0	0	9.50E-06	0.026909	0	0.0004083	0.0154919	0.0246935	0.0038188	0	0	0	0.0001723	0.0658487	0.198042	0.0031316	0.333373	0.0009777	0	7.47E-05	0.0009087	0	0.0020312	0	0.0008536	0.0033949	0	0	0.0004987	0.0350597	0.0072167	0	0	0	0	0.0010431	0	7.74E-05	0	0	0.0090902	0.0015739	4.34E-05	0.009132	0	0	0	0	0.0927046	0	0	0	0	0.0009407	0	0.0006111	9.19E-05	9.00E-06	0	0.007075	0.0003213	0.0020991	0	0.0109021	0.0013028	0	0	0	0	0.0008561	0	0	0.0080247	0	0.0005124	0	0.0386648	0.0001624	0.0002136	0	0	0.0812482	0	0	3.90E-06
5898362	0	0	0	0	0	0	0	0	0	0.0469377	0	3.33E-05	0	0.0263687	0	0	0	0.010199	0	0.0169377	0	0.001589	0	0.15361	0	0.0001061	0.0063201	0	0.0007726	0	0	0.12731	0.0028487	0	0	0	0.0272165	0.0336682	0	0.0014382	0	0	0.0012696	0	0	0	0	0.0583821	0.0132667	0.0004939	0	0	0	0	0	0.0755294	0.0016104	0	0	0	0	0.0548371	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012697	0	0	0	0.154068	0	0	0	0.0175175	0	0.000585	6.78E-05	0	7.61E-05	0.0013887	0.0010547	0.045949
8287393	0	0	0	0	0	0	0	0	0.011659	0	0.0281281	0	0.0383241	0	0.0940021	0.0027978	0	0	0	0	0.0001884	0.0005405	0	0.0420573	0.0071678	0	0.0001788	0.0145362	0	0.0055143	0	0	0.0033535	0	0	0.001387	0	0.0091045	0	0.0644848	0	0	0.0004703	0	0	0	0	0.0057074	0.0004311	0	0	0	0	0	0	0.296402	0.0019599	0	0.00021	2.90E-05	0	0.0005621	4.15E-05	0	0	0	0.0066763	0	0.0036384	0	0.0162016	0	0.305978	0.0011016	0.0013359	0	0	0	0	0.0083787	0	0	0	0.0011577	3.54E-05	0.0004774	0.0001811	0	0.0019632	0.0003994	0.000576	0.0015645
5691788	5.13E-05	0	0	0	0	0.0030462	0	0	0.0047837	0.0054615	0.0041277	0	0.003844	0.0214758	0.0096607	0	0	0	0	0.0626294	0.0060973	0.025747	0	0.367435	0.0041314	0	0.0002213	0.0017673	0	0.0002804	0.0009307	0.0001139	0.0002556	0	0	0.0001007	0	0.0052293	0	0	0	0	0.0021324	0	0	0	0	0.0001698	0	0	0	0	0.020013	0	0.0004082	0.212574	0.0004973	0.0001677	0	0.0003752	0	0.0044838	0.0213515	0	0	0	0	0.001695	0.0066304	0	0.0117065	0.0006059	0	0.0006259	0	0.0047343	0	0.002059	0	0.0357424	0	3.66E-05	0.0778268	0.0076599	0.000124	0.0019084	0	0	0.0240273	0	0.0009368	0.0078292
3515315	1.34E-05	0	0	0	0	0	0.0031589	0	0	0	0	0	2.32E-05	0	0	0	0	0	0	0.0004812	0.294086	2.35E-05	0	0.55656	0.0003209	2.11E-05	0	0	0	0	0	0.0038344	0.0023879	0	0	0	0.0747025	0.0033033	0	0	0	0	0.0096878	0	7.84E-05	0	0	0.0016836	0.0013481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0076694	0	0	0	0	0	0	0	0	0	0	0	0	0.0010093	0	0.0113689	0	0	0	0.0016893	0.0009743	0.0076153	0.0144487	0	5.21E-05	0	4.03E-05	5.65E-05
9701199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.70E-06	0	0.0001276	0.431618	0	0.0001494	0.110888	0.0442745	0.0057638	0.0008175	0	0	0	0	0	0.0078944	0	0	0	0	0.0373215	0	0	0	0	1.29E-05	0	0	0.0006837	0.0015708	0.004909	0.0018935	0	0	0	0	0	0	0.0010456	0.0003958	0	0.0001186	1.49E-05	0	1.22E-05	0	0	0	0	0.0132723	0	0	0	0	0.0014096	0	0	0	0	0	1.76E-05	0	0.134113	0	0	0	0.0193684	4.44E-05	0	0	0	0	0.0101292	0.0423689	0.125435
7118180	5.78E-05	0	0	0	0	0	0.0114743	0	0	0	0	0	0	0	2.46E-05	0	0	0	9.15E-05	0.0009103	0.644924	0	0	0.0003027	0	0	5.88E-05	0	0	0.0038318	0	0.0262891	0.0187637	0	0.0028368	0.0004881	0	0.0209534	0	0	0	0	0	0	0	0	0	0.0039599	0.0005997	0	0	0	0	0	0	4.51E-05	0	0	0.0008318	0	7.74E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.234492	0	0	0	0.0198245	0	0	0	0	9.19E-05	2.89E-05	0.0004745	8.54E-05
2810595	0.0001051	0.000214	0.0027774	0.0029966	0	0.0002001	0	0	0	3.13E-05	0	0	0	0	0.0317189	0	0	0.0030231	0	0.0028701	0	0.0009751	0	0.774197	0.0132361	0	0.0006953	0.0055134	5.31E-05	0.0026565	0	1.57E-05	0.0001422	0	0	0.0020368	0.0002121	0.0029716	0	0	0	0	0.0070409	0	0.0001782	0	0	0.0009142	0	0.0028138	0	0	0.0001429	0.0007608	0.0001271	0.0037057	0.0095191	0	0.0003116	0.0003084	0.0048346	0.0003599	0.0001783	0	0	0	0	0.0027653	0	0	0	0	0	0	0.0047949	0	0	0.0002293	0	0.0033253	0	0.0001182	0.0685775	0.0048864	0	8.80E-06	0.0008994	0	0.009893	1.81E-05	0	0.0001356
